file_name,runway_name,method_name,repeat_id,point_count,representative_latitude,representative_longitude,std_lat_m,std_lon_m,horizontal_std_m,fix_quality,satellite_count_mean,hdop_mean
东操主席台1bd.nea,东操主席台,bd,1,601,30.30796304,120.07784772,0.667,0.280,0.723,1,11.81,0.938
东操主席台1double.nea,东操主席台,double,1,601,30.30797248,120.07777397,0.560,0.755,0.940,2,21.99,0.599
东操主席台1gps.nea,东操主席台,gps,1,471,30.30807458,120.07789394,0.582,2.035,2.117,2,8.95,0.925
东操主席台2bd.nea,东操主席台,bd,2,601,30.30722347,120.07805079,0.901,0.858,1.245,1,12.86,0.820
东操主席台2double.nea,东操主席台,double,2,601,30.30724432,120.07800495,0.313,0.254,0.403,2,21.99,0.597
东操主席台2gps.nea,东操主席台,gps,2,380,30.30722337,120.07801503,0.043,0.022,0.048,2,9.04,0.979
东操外侧1bd.nea,东操外侧,bd,1,525,30.30803424,120.07886006,1.197,1.726,2.101,1,12.44,0.992
东操外侧1double.nea,东操外侧,double,1,574,30.30815887,120.07895957,1.984,7.160,7.430,2,19.66,0.645
东操外侧1gps.nea,东操外侧,gps,1,601,30.30753898,120.07914861,17.217,42.532,45.885,1,9.35,0.966
东操外侧2bd.nea,东操外侧,bd,2,533,30.30738965,120.07901068,0.697,2.286,2.390,1,10.47,1.203
东操外侧2double.nea,东操外侧,double,2,601,30.30748265,120.07871155,2.195,14.671,14.834,2,18.82,0.670
东操外侧2gps.nea,东操外侧,gps,2,585,30.30783969,120.07848980,8.169,11.842,14.386,1,9.60,0.987
西操BD1.nea,西操,bd,1,601,30.30791391,120.07752977,0.460,1.142,1.231,1,10.88,1.131
西操GPS1.nea,西操,gps,1,594,30.30790425,120.07742744,1.346,1.118,1.750,2,11.38,0.768
西操GPS2.nea,西操,gps,2,577,30.30691222,120.07762381,2.069,0.808,2.221,2,10.18,0.904
西操bd2.nea,西操,bd,2,527,30.30710769,120.07773355,2.847,1.697,3.315,1,7.59,1.628
西操double1.nea,西操,double,1,601,30.30792451,120.07749410,0.200,0.237,0.310,2,21.85,0.702
西操double2.nea,西操,double,2,446,30.30710143,120.07770093,0.773,0.333,0.841,2,20.46,0.757
